PropertyName,City,State,Country,Address,OtaName,propertyOtaName
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,booking.com,booking.com
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,agoda.com,agoda.com
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,expedia.com,expedia.com
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,goibibo.com,Goibibo
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,travelguru.com,travelguruxml.com
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,makemytrip.com,makemytrip
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,cleartrip.com,ClearTripXML
Hotel Aurora Towers,Pune,Maharashtra,India,9 Moledina Road,hotelbeds.com,HotelBeds
